catg_id,cal_yr_num,qtr_of_yr_num,mnth_of_yr_num,mnth_of_qtr_num,site_promo_dsc_amt,holiday_ind,gms
245,2019,1,1,1,0.0020084316658429227,1,1087331.99
245,2019,1,2,2,0.006022406410010377,1,967501.71
245,2019,1,3,3,0.005981273730489449,0,937928.4
245,2019,2,4,1,0.007737828726830243,0,887124.12
245,2019,2,5,2,0.005656928200852658,1,1017653.4500000001
245,2019,2,6,3,0.004864838393891557,0,796180.61
245,2019,3,7,1,0.004674265146790172,1,797919.22
245,2019,3,8,2,0.007199982211927556,0,727228.88
245,2019,3,9,3,0.008443804452087417,1,675758.07
245,2019,4,10,1,0.008073385405683817,1,708633.27
245,2019,4,11,2,0.011989026565505467,1,1116439.89
245,2019,4,12,3,0.019243531660810886,1,1415826.34
245,2020,1,1,1,0.003997977751326423,1,710990.7000000001
245,2020,1,2,2,0.007997254682915074,1,721024.1799999999
245,2020,1,3,3,0.00481140043157656,0,1287085.66
245,2020,2,4,1,0.014420203073894926,0,3244308.68
245,2020,2,5,2,0.016200829379546398,1,2261905.31
245,2020,2,6,3,0.015361862996943549,1,1286806.62
245,2020,3,7,1,0.0064804041606037616,1,1063818.68
245,2020,3,8,2,0.0,0,831976.29
248,2015,3,8,2,0.026137749164359576,0,1457845.94
248,2015,3,9,3,0.03937785609176201,0,3482755.31
248,2015,4,10,1,0.022230950228841546,1,3733919.92
248,2015,4,11,2,0.024077497522684423,1,6277863.9
248,2015,4,12,3,0.02838288425333605,0,5341824.8
248,2016,1,1,1,0.013849091185691872,1,3917359.65
248,2016,1,2,2,0.029973146299962228,0,3704819.0700000003
248,2016,1,3,3,0.02245020472472584,0,3814688.2199999997
248,2016,2,4,1,0.010456447483715825,0,3508946.2800000003
248,2016,2,5,2,0.01695501900103653,1,3822515.15
248,2016,2,6,3,0.013589107538119394,0,3265417.9000000004
248,2016,3,7,1,0.030425951396670266,1,3798410.1300000004
248,2016,3,8,2,0.032185249890770214,0,4074781.35
248,2016,3,9,3,0.03644361240070262,1,4443465.64
248,2016,4,10,1,0.0438623455428078,1,4932169.97
248,2016,4,11,2,0.031250497474220235,1,7647883.74
248,2016,4,12,3,0.030015399231466823,1,5363365.06
248,2017,1,1,1,0.02679355538460981,1,4030648.6
248,2017,1,2,2,0.03229906272005382,1,3780183.3
248,2017,1,3,3,0.051935316226848764,0,4649634.45
248,2017,2,4,1,0.04692542593046897,0,3693553.56
248,2017,2,5,2,0.05619101447231838,1,4094518.1300000004
248,2017,2,6,3,0.039418252015870396,1,3487548.1399999997
248,2017,3,7,1,0.03172404394059566,1,3847163.14
248,2017,3,8,2,0.04524273133677693,0,4606880.45
248,2017,3,9,3,0.04776602323292402,1,4525109.279999999
248,2017,4,10,1,0.05233102367887938,1,4954554.99
248,2017,4,11,2,0.03161758577189143,1,7347190.489999999
248,2017,4,12,3,0.03470757048546646,0,5260240.069999999
248,2018,1,1,1,0.0242713958968422,1,4788120.510000001
248,2018,1,2,2,0.04602209753715394,1,4972595.779999999
248,2018,1,3,3,0.06002398563292599,0,5788752.8100000005
248,2018,2,4,1,0.0479326000813529,0,4771679.35
248,2018,2,5,2,0.05084687347440717,1,4792440.22
248,2018,2,6,3,0.0417028562396676,1,3928933.25
248,2018,3,7,1,0.05631350189630122,1,4856493.75
248,2018,3,8,2,0.05507076063892109,0,4651514.67
248,2018,3,9,3,0.06329540107857475,1,5286641.53
248,2018,4,10,1,0.06986363332842814,1,6140210.729999999
248,2018,4,11,2,0.04415710231981548,1,8789838.76
248,2018,4,12,3,0.05353202896532175,1,5924545.2700000005
248,2019,1,1,1,0.036029569334150045,1,4898260.45
248,2019,1,2,2,0.05956275076711086,1,4618859.79
248,2019,1,3,3,0.06890852455261143,0,5312516.569999999
248,2019,2,4,1,0.08449058869727276,0,4693163.24
248,2019,2,5,2,0.07112857081716993,1,4835260.86
248,2019,2,6,3,0.05448486811083798,1,4064863.57
248,2019,3,7,1,0.07085016473389406,1,4593571.98
248,2019,3,8,2,0.06604513691245979,0,4487347.250000001
248,2019,3,9,3,0.08524773809372292,1,4802179.52
248,2019,4,10,1,0.07760127470550118,1,5527039.77
248,2019,4,11,2,0.06927832773656209,1,7532607.91
248,2019,4,12,3,0.07339175905674271,1,6547229.16
248,2020,1,1,1,0.06532801044510442,1,5412878.39
248,2020,1,2,2,0.07047166102355766,1,5572271.12
248,2020,1,3,3,0.0758772640633503,0,6328285.27
248,2020,2,4,1,0.06806596191595415,0,12733172.89
248,2020,2,5,2,0.039433141993998014,1,12163282.209999999
248,2020,2,6,3,0.03737436785011133,1,9612036.02
248,2020,3,7,1,0.006064080676380885,1,10464039.05
248,2020,3,8,2,0.0,0,6465669.67
270,2015,3,8,2,0.0,0,2226.11
270,2015,3,9,3,0.0,1,1646.68
270,2015,4,10,1,0.0,1,2129.91
270,2015,4,11,2,0.0,1,7622.72
270,2015,4,12,3,0.0,1,10269.06
270,2016,1,1,1,0.0,1,17496.08
270,2016,1,2,2,0.0,1,29302.32
270,2016,1,3,3,0.0,0,11358.03
270,2016,2,4,1,0.0,0,1377.53
270,2016,2,5,2,0.0,1,720.84
270,2016,2,6,3,0.0,1,2389.86
270,2016,3,7,1,0.0,1,1911.22
270,2016,3,8,2,0.0,0,2299.0
270,2016,3,9,3,0.0,1,3268.98
270,2016,4,10,1,0.0,1,4501.3
270,2016,4,11,2,0.0,1,3933.81
270,2016,4,12,3,0.0,1,2926.37
270,2017,1,1,1,0.0,1,1402.78
270,2017,1,2,2,0.0,1,867.88
270,2017,1,3,3,0.0,0,815.55
270,2017,2,4,1,0.0,0,429.98
270,2017,2,5,2,0.0,1,2519.07
270,2017,2,6,3,0.0,1,1749.9
270,2017,3,7,1,0.0,1,5392.52
270,2017,3,8,2,0.0,0,6064.34
270,2017,3,9,3,0.0,1,2888.25
270,2017,4,10,1,0.0,1,1542.38
270,2017,4,11,2,0.0,1,1044.95
270,2017,4,12,3,0.03831983583237559,0,3367.29
270,2018,1,1,1,0.0,1,617.85
270,2018,1,2,2,0.0,1,2999.98
270,2018,1,3,3,0.0,0,1299.95
270,2018,2,4,1,0.08505185559361633,0,6334.9
270,2018,2,5,2,0.0,1,2569.95
270,2018,2,6,3,0.0,1,35.73
270,2018,3,7,1,0.0,1,1700.98
270,2018,3,8,2,0.07965510998461123,0,441.88
270,2018,3,9,3,0.0,1,839.36
270,2018,4,10,1,0.010638400764074015,0,1654.29
270,2018,4,11,2,0.0,1,0.0
270,2018,4,12,3,0.1,1,179.95
270,2019,1,1,1,0.0,1,0.0
270,2019,1,2,2,0.0,1,0.0
270,2019,1,3,3,0.15,0,167.99
270,2019,2,4,1,0.05454574972400805,0,307.98
270,2019,2,5,2,0.0,1,0.0
270,2019,2,6,3,0.02658727897745618,1,526.53
270,2019,3,7,1,0.0,1,1840.25
270,2019,3,8,2,0.0,0,0.0
270,2019,3,9,3,0.1,1,139.99
270,2019,4,10,1,0.0,1,139.99
270,2019,4,11,2,0.0,1,408.95
270,2019,4,12,3,0.0,1,0.0
270,2020,1,1,1,0.0,1,0.0
270,2020,1,2,2,0.0,1,2246.99
270,2020,1,3,3,0.0,0,0.0
270,2020,2,4,1,0.0051562074122093,0,5429.959999999999
270,2020,2,5,2,0.0,1,0.0
270,2020,2,6,3,0.0,1,966.0
270,2020,3,7,1,0.0,1,0.0
270,2020,3,8,2,0.0,0,0.0
271,2015,3,8,2,0.0,0,24299.38
271,2015,3,9,3,0.0,1,44756.82
271,2015,4,10,1,0.0,1,17837.72
271,2015,4,11,2,0.0,1,12859.82
271,2015,4,12,3,0.0,1,12278.6
271,2016,1,1,1,0.0,1,15964.11
271,2016,1,2,2,0.0,1,19533.3
271,2016,1,3,3,0.0,0,12195.05
271,2016,2,4,1,0.0,0,7487.87
271,2016,2,5,2,0.0,1,7324.66
271,2016,2,6,3,0.0,1,6234.86
271,2016,3,7,1,0.001906835862662046,0,5767.669999999999
271,2016,3,8,2,0.0,0,7463.15
271,2016,3,9,3,0.0028307291206753444,1,9059.679999999998
271,2016,4,10,1,0.004024706144897896,1,7080.0199999999995
271,2016,4,11,2,0.0,1,4940.7
271,2016,4,12,3,0.0,1,8279.21
271,2017,1,1,1,0.0,1,6761.06
271,2017,1,2,2,0.0,1,4766.26
271,2017,1,3,3,0.010634275071701439,0,3361.1599999999994
271,2017,2,4,1,0.0025548225236944814,0,2152.3999999999996
271,2017,2,5,2,0.0,1,3992.07
271,2017,2,6,3,0.0,1,9685.76
271,2017,3,7,1,0.0,1,9270.7
271,2017,3,8,2,0.0,0,11675.66
271,2017,3,9,3,0.0008019202221469005,1,11034.14
271,2017,4,10,1,0.0,1,11690.93
271,2017,4,11,2,0.0017315324011565954,0,11457.769999999999
271,2017,4,12,3,0.00011388019407894935,1,16679.809999999998
271,2018,1,1,1,0.00010185423401152293,0,12321.529999999999
271,2018,1,2,2,0.0,1,4753.03
271,2018,1,3,3,0.0004712763363151803,0,7750.2300000000005
271,2018,2,4,1,0.0018258932894354607,0,5163.5
271,2018,2,5,2,0.002785019741479003,0,2922.78
271,2018,2,6,3,0.0,1,4487.76
271,2018,3,7,1,0.004310817228655975,0,5474.599999999999
271,2018,3,8,2,0.005697133440348881,0,7961.46
271,2018,3,9,3,0.007262461741436861,1,6563.889999999999
271,2018,4,10,1,0.04181518368760441,1,6237.22
271,2018,4,11,2,0.02186539547787949,1,4815.44
271,2018,4,12,3,0.006438449557562515,0,7011.16
271,2019,1,1,1,0.015088629259918288,1,5749.23
271,2019,1,2,2,0.004682933137234128,0,6418.52
271,2019,1,3,3,0.005992753940497019,0,5252.51
271,2019,2,4,1,0.0,0,4626.67
271,2019,2,5,2,0.0,1,4799.31
271,2019,2,6,3,0.011788691404564853,0,6026.92
271,2019,3,7,1,0.002715589443467503,1,4316.19
271,2019,3,8,2,0.0,0,11211.37
271,2019,3,9,3,0.0013507117262046497,1,3443.7400000000002
271,2019,4,10,1,0.015120038942989439,0,4252.37
271,2019,4,11,2,0.004199316426901687,1,3499.2599999999998
271,2019,4,12,3,0.0005861093549375273,0,3068.54
271,2020,1,1,1,0.0,1,3872.22
271,2020,1,2,2,0.004392355691863831,1,3299.7099999999996
271,2020,1,3,3,0.005053762911387627,0,6092.49
271,2020,2,4,1,0.0,0,4910.68
271,2020,2,5,2,0.0003898190724685161,1,5128.0199999999995
271,2020,2,6,3,0.0,1,4260.25
271,2020,3,7,1,0.0,1,4673.61
271,2020,3,8,2,0.0,0,1135.86
272,2015,3,8,2,0.0,0,15494.97
272,2015,3,9,3,0.004249598089949071,1,38080.659999999996
272,2015,4,10,1,0.0,1,41798.93
272,2015,4,11,2,0.0,1,66063.43
272,2015,4,12,3,0.002543989413194563,0,65016.78
272,2016,1,1,1,0.0,1,43976.17
272,2016,1,2,2,0.0,1,36978.74
272,2016,1,3,3,0.0,0,39281.29
272,2016,2,4,1,0.0,0,39218.31
272,2016,2,5,2,0.0,1,33184.47
272,2016,2,6,3,0.0,1,27165.19
272,2016,3,7,1,0.0,1,25937.48
272,2016,3,8,2,0.002613803891442544,0,29106.43
272,2016,3,9,3,0.0,1,32455.26
272,2016,4,10,1,0.0,1,28588.05
272,2016,4,11,2,0.0,1,51803.91
272,2016,4,12,3,0.0,1,48026.18
272,2017,1,1,1,0.0,1,25987.35
272,2017,1,2,2,0.00012845508980804729,0,19454.27
272,2017,1,3,3,0.0,0,23512.3
272,2017,2,4,1,0.0035743705609547803,0,23125.75
272,2017,2,5,2,0.001398947749879427,1,30023.28
272,2017,2,6,3,0.0012027211749372159,0,31457.0
272,2017,3,7,1,0.00049152068392214,1,24816.86
272,2017,3,8,2,0.0008066121734710448,0,28880.670000000002
272,2017,3,9,3,0.00904956795563109,0,22877.28
272,2017,4,10,1,0.00433399698055955,0,33456.53
272,2017,4,11,2,0.02177200554682707,1,33835.56
272,2017,4,12,3,0.012927278063591528,1,33765.189999999995
272,2018,1,1,1,0.0032103774863446784,0,39402.22
272,2018,1,2,2,0.0040841367109951295,1,31361.34
272,2018,1,3,3,0.011056269052215361,0,30915.04
272,2018,2,4,1,0.0011220435128204038,0,25903.63
272,2018,2,5,2,0.015765629731698757,1,24006.969999999998
272,2018,2,6,3,0.01773121749127425,1,29513.23
272,2018,3,7,1,0.024252302489223047,0,43950.26
272,2018,3,8,2,0.02495631162932671,0,37773.21
272,2018,3,9,3,0.034444642688023,1,40018.11
272,2018,4,10,1,0.08955710612310495,0,44054.119999999995
272,2018,4,11,2,0.0405011591088761,1,59895.15
272,2018,4,12,3,0.057106679917954796,1,106404.75
272,2019,1,1,1,0.02888996852699528,1,41114.6
272,2019,1,2,2,0.017652924486247695,0,36879.64
272,2019,1,3,3,0.021718827847990514,0,34060.770000000004
272,2019,2,4,1,0.024419079173581514,0,30508.03
272,2019,2,5,2,0.007237431851782932,1,24397.19
272,2019,2,6,3,0.011555855423013305,0,31969.68
272,2019,3,7,1,0.012723155876161426,0,35846.02
272,2019,3,8,2,0.005781588784300188,0,28793.21
272,2019,3,9,3,0.002285768917545281,0,20187.08
272,2019,4,10,1,0.0025264186333743494,0,15189.09
272,2019,4,11,2,0.0038613426544297086,1,22086.100000000002
272,2019,4,12,3,0.004833173576694008,1,28647.739999999998
272,2020,1,1,1,0.004544519471393879,1,12979.039999999999
272,2020,1,2,2,0.006789995697577246,1,14108.330000000002
272,2020,1,3,3,0.010414586762748047,0,35197.94
272,2020,2,4,1,0.006512732056039205,0,46593.81
272,2020,2,5,2,0.01647467489940791,1,26217.27
272,2020,2,6,3,0.020350497204558064,1,9372.4
272,2020,3,7,1,0.0106164206064771,0,10418.86
272,2020,3,8,2,0.0,0,8340.07
300,2015,3,8,2,0.03305671615354721,0,2372809.3600000003
300,2015,3,9,3,0.03959570224332029,0,5367794.8100000005
300,2015,4,10,1,0.03343036313481451,0,5413953.5
300,2015,4,11,2,0.032082625320737336,1,7062839.27
300,2015,4,12,3,0.03618164283767399,0,5545997.4799999995
300,2016,1,1,1,0.016116638883985474,1,5740326.699999999
300,2016,1,2,2,0.03362023377457762,1,6316403.67
300,2016,1,3,3,0.03957907196812653,0,6406832.75
300,2016,2,4,1,0.026714701196586598,0,5586536.75
300,2016,2,5,2,0.020664899145862323,1,6037922.329999999
300,2016,2,6,3,0.024251779154737623,1,5290537.58
300,2016,3,7,1,0.0329446004241726,0,6302236.34
300,2016,3,8,2,0.04153232061523206,0,6478871.72
300,2016,3,9,3,0.053202068919125496,1,6935240.64
300,2016,4,10,1,0.04632961943849385,1,7124761.06
300,2016,4,11,2,0.03437956436064439,1,9684687.450000001
300,2016,4,12,3,0.03513434160743026,0,6454448.6
300,2017,1,1,1,0.03352393291558169,1,7176476.029999999
300,2017,1,2,2,0.038452110101396056,0,7385883.46
300,2017,1,3,3,0.05099245435148442,0,8455974.31
300,2017,2,4,1,0.04825794104028812,0,6872829.380000001
300,2017,2,5,2,0.042776271816482636,0,7366848.619999999
300,2017,2,6,3,0.029268486781488273,1,6157796.86
300,2017,3,7,1,0.03171681432678407,1,7122251.55
300,2017,3,8,2,0.04740205964286871,0,7481024.13
300,2017,3,9,3,0.06055520617372854,1,7164606.57
300,2017,4,10,1,0.05616394994766308,1,7603742.469999999
300,2017,4,11,2,0.039949632702532135,1,9667443.45
300,2017,4,12,3,0.04099705971763071,0,6501072.89
300,2018,1,1,1,0.029856167136686443,1,6922843.48
300,2018,1,2,2,0.036250961588803095,1,8165756.48
300,2018,1,3,3,0.05574623296368242,0,8720837.08
300,2018,2,4,1,0.055878979024310396,0,7888649.34
300,2018,2,5,2,0.053447514220665196,1,8093545.44
300,2018,2,6,3,0.04108809967341949,1,6880137.99
300,2018,3,7,1,0.04271429955606876,0,8282169.98
300,2018,3,8,2,0.0455684154265944,0,7514721.98
300,2018,3,9,3,0.060855006168202413,1,7816410.16
300,2018,4,10,1,0.053219436788470645,1,7961263.159999999
300,2018,4,11,2,0.048965899535390454,0,9947940.120000001
300,2018,4,12,3,0.05913337240435709,1,7058171.85
300,2019,1,1,1,0.02552007126898229,1,10715090.569999998
300,2019,1,2,2,0.05344624084975904,1,6943404.58
300,2019,1,3,3,0.05881806597500141,0,8159408.39
300,2019,2,4,1,0.057254091640267735,0,5222912.72
300,2019,2,5,2,0.0,1,0.0
300,2019,2,6,3,0.0,1,1105.48
300,2019,3,7,1,0.0,1,0.0
300,2019,3,8,2,0.0,0,0.0
300,2019,3,9,3,0.0,1,0.0
300,2019,4,10,1,0.0,1,0.0
300,2019,4,11,2,0.0,1,0.0
300,2019,4,12,3,0.0,1,0.0
300,2020,1,1,1,0.0,1,0.0
300,2020,1,2,2,0.0,1,0.0
300,2020,1,3,3,0.0,0,0.0
300,2020,2,4,1,0.0,0,0.0
300,2020,2,5,2,0.0,1,0.0
300,2020,2,6,3,0.0,1,0.0
300,2020,3,7,1,0.0,1,0.0
300,2020,3,8,2,0.0,0,0.0
408,2015,3,8,2,0.0,0,3932.23
408,2015,3,9,3,0.0012065562817847363,0,27300.84
408,2015,4,10,1,0.0,1,23431.75
408,2015,4,11,2,0.0,1,13413.47
408,2015,4,12,3,0.0,1,8074.42
408,2016,1,1,1,0.0,1,11475.19
408,2016,1,2,2,0.0,1,10708.1
408,2016,1,3,3,0.0,0,10426.71
408,2016,2,4,1,0.0,0,14451.16
408,2016,2,5,2,0.0,1,9105.13
408,2016,2,6,3,0.0,1,9388.05
408,2016,3,7,1,0.0,1,4705.91
408,2016,3,8,2,0.0,0,6074.5
408,2016,3,9,3,0.0,1,22003.21
408,2016,4,10,1,0.0,1,6876.65
408,2016,4,11,2,0.0,1,7007.18
408,2016,4,12,3,0.0004829836528609801,1,8666.960000000001
408,2017,1,1,1,0.0,1,19113.81
408,2017,1,2,2,0.0,1,11136.41
408,2017,1,3,3,0.0,0,10043.95
408,2017,2,4,1,0.003509750810735868,0,2957.19
408,2017,2,5,2,0.0006099136884887812,0,7622.389999999999
408,2017,2,6,3,0.001043858892983965,0,4756.389999999999
408,2017,3,7,1,0.0,1,17007.57
408,2017,3,8,2,0.0,0,6142.68
408,2017,3,9,3,0.00071964670041683,1,9840.94
408,2017,4,10,1,0.0006917094834250216,1,7101.97
408,2017,4,11,2,0.002264751583466112,1,9112.92
408,2017,4,12,3,0.009076609089551498,0,11048.95
408,2018,1,1,1,0.002941727202995985,1,17730.399999999998
408,2018,1,2,2,0.007400399578923662,0,5861.17
408,2018,1,3,3,0.013659659336206187,0,7551.14
408,2018,2,4,1,0.00019203461863846334,0,8014.18
408,2018,2,5,2,0.0014776159016405205,1,13940.699999999999
408,2018,2,6,3,7.972840674137084e-05,0,11225.61
408,2018,3,7,1,0.0007219275579128701,1,18529.56
408,2018,3,8,2,0.0004362773272544727,0,41095.42
408,2018,3,9,3,0.0009709114574606741,1,11339.86
